행정구역,행정코드,총인구수
경기도 용인시 기흥구 상갈동,4146353000,"12,896"
경기도 용인시 기흥구 보라동,4146353500,"32,906"
경기도 용인시 기흥구 기흥동,4146354000,"21,293"
경기도 용인시 기흥구 서농동,4146355000,"25,240"
경기도 용인시 기흥구 구성동,4146356000,"39,303"
경기도 용인시 기흥구 마북동,4146357000,"31,449"
경기도 용인시 기흥구 동백1동,4146357200,"32,023"
경기도 용인시 기흥구 동백2동,4146357500,"26,894"
경기도 용인시 기흥구 동백3동,4146357700,"26,898"
경기도 용인시 기흥구 상하동,4146358600,"23,620"
경기도 용인시 기흥구 보정동,4146359000,"35,326"
경기도 용인시 수지구 풍덕천1동,4146551000,"35,189"
경기도 용인시 수지구 풍덕천2동,4146552000,"41,450"
경기도 용인시 수지구 신봉동,4146553000,"41,317"
경기도 용인시 수지구 죽전1동,4146554000,"28,433"
경기도 용인시 수지구 죽전2동,4146555000,"18,003"
경기도 용인시 수지구 죽전3동,4146555500,"26,584"
경기도 용인시 수지구 동천동,4146556000,"50,793"
경기도 용인시 수지구 상현1동,4146557000,"20,088"
경기도 용인시 수지구 상현2동,4146558000,"33,110"
경기도 용인시 수지구 상현3동,4146558500,"27,759"
경기도 용인시 수지구 성복동,4146559000,"54,696"
경기도 하남시 천현동,4145051000,"6,407"
경기도 하남시 신장1동,4145052000,"6,919"
경기도 하남시 신장2동,4145053000,"45,773"
경기도 하남시 덕풍1동,4145054000,"14,468"
경기도 하남시 덕풍2동,4145055000,"18,023"
경기도 하남시 덕풍3동,4145056000,"25,110"
경기도 하남시 감북동,4145058000,"2,812"
경기도 하남시 감일동,4145058200,"39,515"
경기도 하남시 위례동,4145058500,"35,093"
경기도 하남시 춘궁동,4145059000,"1,853"
경기도 하남시 초이동,4145060000,"3,209"
경기도 하남시 미사1동,4145061000,"53,929"
경기도 하남시 미사2동,4145062000,"46,901"
경기도 하남시 미사3동,4145063000,"29,849"
경기도 고양시 덕양구 주교동,4128151000,"10,961"
경기도 고양시 덕양구 원신동,4128152000,"22,890"
경기도 고양시 덕양구 흥도동,4128153000,"29,581"
경기도 고양시 덕양구 성사1동,4128154000,"21,204"
경기도 고양시 덕양구 성사2동,4128155000,"10,740"
경기도 고양시 덕양구 효자동,4128156000,"23,934"
경기도 고양시 덕양구 삼송1동,4128157600,"21,916"
경기도 고양시 덕양구 삼송2동,4128157700,"28,579"
경기도 고양시 덕양구 창릉동,4128158000,"23,313"
경기도 고양시 덕양구 고양동,4128159000,"28,430"
경기도 고양시 덕양구 관산동,4128160000,"35,052"
경기도 고양시 덕양구 능곡동,4128161000,"18,202"
경기도 고양시 덕양구 화정1동,4128162100,"35,999"
경기도 고양시 덕양구 화정2동,4128162200,"31,449"
경기도 고양시 덕양구 행주동,4128163000,"16,322"
경기도 고양시 덕양구 행신1동,4128164000,"20,706"
경기도 고양시 덕양구 행신2동,4128165000,"30,379"
경기도 고양시 덕양구 행신3동,4128165500,"22,964"
경기도 고양시 덕양구 행신4동,4128165600,"19,856"
경기도 고양시 덕양구 화전동,4128166000,"27,947"
경기도 고양시 덕양구 대덕동,4128167000,"16,014"
경기도 고양시 일산동구 식사동,4128551000,"40,820"
경기도 고양시 일산동구 중산1동,4128552500,"20,764"
경기도 고양시 일산동구 중산2동,4128552600,"23,798"
경기도 고양시 일산동구 정발산동,4128553000,"21,917"
경기도 고양시 일산동구 풍산동,4128554000,"37,162"
경기도 고양시 일산동구 백석1동,4128555100,"29,048"
경기도 고양시 일산동구 백석2동,4128555200,"20,097"
경기도 고양시 일산동구 마두1동,4128556000,"23,026"
경기도 고양시 일산동구 마두2동,4128557000,"15,557"
경기도 고양시 일산동구 장항1동,4128558000,"10,863"
경기도 고양시 일산동구 장항2동,4128559000,"26,531"
경기도 고양시 일산동구 고봉동,4128560000,"22,014"
경기도 고양시 일산서구 일산1동,4128751000,"25,650"
경기도 고양시 일산서구 일산2동,4128752000,"19,145"
경기도 고양시 일산서구 일산3동,4128753000,"33,936"
경기도 고양시 일산서구 탄현1동,4128754500,"30,124"
경기도 고양시 일산서구 탄현2동,4128754600,"19,186"
경기도 고양시 일산서구 주엽1동,4128755000,"26,840"
경기도 고양시 일산서구 주엽2동,4128756000,"27,285"
경기도 고양시 일산서구 대화동,4128757000,"34,576"
경기도 고양시 일산서구 송포동,4128758000,"20,570"
경기도 고양시 일산서구 덕이동,4128760000,"30,777"
경기도 고양시 일산서구 가좌동,4128761000,"18,783"
경기도 과천시 중앙동,4129051000,"11,343"
경기도 과천시 원문동,4129051500,"15,414"
경기도 과천시 갈현동,4129052000,"11,410"
경기도 과천시 별양동,4129053000,"14,658"
경기도 과천시 부림동,4129054000,"14,659"
경기도 과천시 과천동,4129055000,"6,667"
경기도 과천시 문원동,4129056000,"6,849"
경기도 광명시 광명1동,4121051000,50
경기도 광명시 광명2동,4121052000,"2,921"
경기도 광명시 광명3동,4121054000,"9,728"
경기도 광명시 광명4동,4121055000,"7,692"
경기도 광명시 광명5동,4121056000,"12,003"
경기도 광명시 광명6동,4121057000,"13,744"
경기도 광명시 광명7동,4121058000,"22,049"
경기도 광명시 철산1동,4121059000,"10,532"
경기도 광명시 철산2동,4121060000,"5,377"
경기도 광명시 철산3동,4121061000,"36,772"
경기도 광명시 철산4동,4121062000,"9,389"
경기도 광명시 하안1동,4121063100,"25,318"
경기도 광명시 하안2동,4121063200,"13,202"
경기도 광명시 하안3동,4121063300,"19,089"
경기도 광명시 하안4동,4121063400,"11,835"
경기도 광명시 소하1동,4121064000,"30,211"
경기도 광명시 소하2동,4121065000,"26,637"
경기도 광명시 일직동,4121065500,"21,744"
경기도 광명시 학온동,4121066000,"1,904"
경기도 구리시 갈매동,4131051000,"30,205"
경기도 구리시 동구동,4131052000,"35,874"
경기도 구리시 인창동,4131053000,"23,803"
경기도 구리시 교문1동,4131054100,"15,035"
경기도 구리시 교문2동,4131054200,"21,197"
경기도 구리시 수택1동,4131057000,"15,143"
경기도 구리시 수택2동,4131058000,"24,626"
경기도 구리시 수택3동,4131059000,"21,210"
경기도 남양주시 와부읍,4136025000,"57,586"
경기도 남양주시 진접읍,4136025300,"96,010"
경기도 남양주시 화도읍,4136025600,"64,713"
경기도 남양주시 화도읍동부출장소,4136025700,"13,533"
경기도 남양주시 화도읍남부출장소,4136025800,"35,878"
경기도 남양주시 진건읍,4136025900,"20,979"
경기도 남양주시 오남읍,4136026200,"51,729"
경기도 남양주시 퇴계원읍,4136026500,"27,461"
경기도 남양주시 별내면,4136031000,"18,505"
경기도 남양주시 수동면,4136034000,"8,807"
경기도 남양주시 조안면,4136036000,"3,874"
경기도 남양주시 호평동,4136051000,"56,341"
경기도 남양주시 평내동,4136052000,"37,869"
경기도 남양주시 금곡동,4136053000,"17,703"
경기도 남양주시 양정동,4136054000,"2,911"
경기도 남양주시 다산1동,4136054500,"101,791"
경기도 남양주시 다산2동,4136056500,"36,184"
경기도 남양주시 별내동,4136057000,"80,391"
경기도 동두천시 생연1동,4125051000,"6,390"
경기도 동두천시 생연2동,4125052000,"10,993"
경기도 동두천시 중앙동,4125053500,"4,523"
경기도 동두천시 보산동,4125055000,"2,707"
경기도 동두천시 불현동,4125056500,"25,385"
경기도 동두천시 송내동,4125056600,"25,103"
경기도 동두천시 소요동,4125058000,"8,539"
경기도 동두천시 상패동,4125060000,"4,986"
경기도 부천시 심곡동,4119060300,"59,193"
경기도 부천시 부천동,4119060600,"85,000"
경기도 부천시 중동,4119061000,"39,922"
경기도 부천시 신중동,4119074200,"127,690"
경기도 부천시 상동,4119074400,"82,491"
경기도 부천시 대산동,4119074600,"76,367"
경기도 부천시 소사본동,4119075000,"53,730"
경기도 부천시 범안동,4119079500,"99,963"
경기도 부천시 성곡동,4119080000,"77,558"
경기도 부천시 오정동,4119083000,"78,054"
경기도 성남시 수정구 신흥1동,4113151000,"12,665"
경기도 성남시 수정구 신흥2동,4113152000,"28,895"
경기도 성남시 수정구 신흥3동,4113153000,"10,827"
경기도 성남시 수정구 태평1동,4113154000,"14,376"
경기도 성남시 수정구 태평2동,4113155000,"14,430"
경기도 성남시 수정구 태평3동,4113156000,"12,442"
경기도 성남시 수정구 태평4동,4113156100,"11,908"
경기도 성남시 수정구 수진1동,4113157000,"11,564"
경기도 성남시 수정구 수진2동,4113158000,"15,015"
경기도 성남시 수정구 단대동,4113159000,"14,574"
경기도 성남시 수정구 산성동,4113160000,"4,723"
경기도 성남시 수정구 양지동,4113161000,"9,331"
경기도 성남시 수정구 복정동,4113162000,"10,357"
경기도 성남시 수정구 위례동,4113162500,"44,987"
경기도 성남시 수정구 신촌동,4113163000,"4,575"
경기도 성남시 수정구 고등동,4113164000,"11,876"
경기도 성남시 수정구 시흥동,4113165000,"3,397"
경기도 성남시 중원구 성남동,4113351000,"32,430"
경기도 성남시 중원구 중앙동,4113352500,"16,925"
경기도 성남시 중원구 금광1동,4113353000,"19,567"
경기도 성남시 중원구 금광2동,4113354000,"24,691"
경기도 성남시 중원구 은행1동,4113355000,"9,676"
경기도 성남시 중원구 은행2동,4113356000,"22,175"
경기도 성남시 중원구 상대원1동,4113357000,"24,336"
경기도 성남시 중원구 상대원2동,4113358000,"3,169"
경기도 성남시 중원구 상대원3동,4113359000,"11,758"
경기도 성남시 중원구 하대원동,4113366000,"19,593"
경기도 성남시 중원구 도촌동,4113367000,"26,528"
경기도 성남시 분당구 분당동,4113551000,"24,888"
경기도 성남시 분당구 수내1동,4113552000,"17,838"
경기도 성남시 분당구 수내2동,4113553000,"10,355"
경기도 성남시 분당구 수내3동,4113554000,"13,436"
경기도 성남시 분당구 정자동,4113554500,"14,284"
경기도 성남시 분당구 정자1동,4113555000,"30,248"
경기도 성남시 분당구 정자2동,4113556000,"14,614"
경기도 성남시 분당구 정자3동,4113557000,"16,897"
경기도 성남시 분당구 서현1동,4113558000,"31,021"
경기도 성남시 분당구 서현2동,4113559000,"17,759"
경기도 성남시 분당구 이매1동,4113560000,"24,845"
경기도 성남시 분당구 이매2동,4113561000,"13,146"
경기도 성남시 분당구 야탑1동,4113562000,"16,808"
경기도 성남시 분당구 야탑2동,4113563000,"15,874"
경기도 성남시 분당구 야탑3동,4113564000,"26,838"
경기도 성남시 분당구 판교동,4113565000,"26,512"
경기도 성남시 분당구 삼평동,4113565500,"23,939"
경기도 성남시 분당구 백현동,4113565700,"26,848"
경기도 성남시 분당구 금곡동,4113566200,"27,083"
경기도 성남시 분당구 구미1동,4113566500,"16,495"
경기도 성남시 분당구 구미동,4113567000,"28,673"
경기도 성남시 분당구 운중동,4113568000,"34,556"
경기도 수원시 장안구 파장동,4111156000,"24,858"
경기도 수원시 장안구 율천동,4111156600,"40,392"
경기도 수원시 장안구 정자1동,4111157100,"27,561"
경기도 수원시 장안구 정자2동,4111157200,"37,725"
경기도 수원시 장안구 정자3동,4111157300,"39,641"
경기도 수원시 장안구 영화동,4111158000,"18,624"
경기도 수원시 장안구 송죽동,4111159100,"18,506"
경기도 수원시 장안구 조원1동,4111159700,"28,582"
경기도 수원시 장안구 조원2동,4111159800,"17,711"
경기도 수원시 장안구 연무동,4111160000,"17,249"
경기도 수원시 권선구 세류1동,4111352000,"9,686"
경기도 수원시 권선구 세류2동,4111353000,"22,896"
경기도 수원시 권선구 세류3동,4111354000,"17,802"
경기도 수원시 권선구 평동,4111355000,"40,962"
경기도 수원시 권선구 서둔동,4111356000,"37,614"
경기도 수원시 권선구 구운동,4111365000,"23,150"
경기도 수원시 권선구 금곡동,4111366200,"44,027"
경기도 수원시 권선구 호매실동,4111366400,"44,651"
경기도 수원시 권선구 권선1동,4111367000,"24,177"
경기도 수원시 권선구 권선2동,4111368000,"46,505"
경기도 수원시 권선구 곡선동,4111369000,"35,049"
경기도 수원시 권선구 입북동,4111370000,"19,648"
경기도 수원시 팔달구 매교동,4111565000,"21,454"
경기도 수원시 팔달구 매산동,4111566000,"9,878"
경기도 수원시 팔달구 고등동,4111567000,"19,903"
경기도 수원시 팔달구 화서1동,4111568000,"21,214"
경기도 수원시 팔달구 화서2동,4111569000,"24,342"
경기도 수원시 팔달구 지동,4111570000,"9,841"
경기도 수원시 팔달구 우만1동,4111571000,"18,738"
경기도 수원시 팔달구 우만2동,4111572000,"16,802"
경기도 수원시 팔달구 인계동,4111573000,"45,608"
경기도 수원시 팔달구 행궁동,4111574000,"9,433"
경기도 수원시 영통구 매탄1동,4111751000,"11,704"
경기도 수원시 영통구 매탄2동,4111752000,"13,930"
경기도 수원시 영통구 매탄3동,4111753000,"34,512"
경기도 수원시 영통구 매탄4동,4111754000,"20,293"
경기도 수원시 영통구 원천동,4111755000,"45,447"
경기도 수원시 영통구 영통1동,4111757000,"33,195"
경기도 수원시 영통구 영통2동,4111758000,"25,393"
경기도 수원시 영통구 영통3동,4111758500,"31,624"
경기도 수원시 영통구 망포1동,4111759300,"31,684"
경기도 수원시 영통구 망포2동,4111759600,"33,462"
경기도 수원시 영통구 광교1동,4111760000,"53,072"
경기도 수원시 영통구 광교2동,4111761000,"28,712"
경기도 시흥시 대야동,4139051000,"42,477"
경기도 시흥시 신천동,4139052000,"33,845"
경기도 시흥시 신현동,4139053100,"9,263"
경기도 시흥시 은행동,4139054000,"55,147"
경기도 시흥시 매화동,4139055000,"11,549"
경기도 시흥시 목감동,4139057000,"41,286"
경기도 시흥시 군자동,4139058100,"21,616"
경기도 시흥시 월곶동,4139058200,"17,301"
경기도 시흥시 정왕본동,4139058900,"18,637"
경기도 시흥시 정왕1동,4139059100,"21,929"
경기도 시흥시 정왕2동,4139059200,"27,694"
경기도 시흥시 정왕3동,4139059300,"21,921"
경기도 시흥시 정왕4동,4139059400,"20,002"
경기도 시흥시 배곧1동,4139059600,"35,285"
