행정구역,총 인구수
부천시 소사구,31427
부천시 오정구,12655
부천시 오정구,25803
부천시 오정구,38385
부천시 오정구,16903
부천시 오정구,19510
부천시 오정구,21578
부천시 오정구,18996
부천시 원미구,20447
부천시 원미구,23859
부천시 원미구,28269
부천시 원미구,30139
부천시 원미구,17764
부천시 원미구,6095
부천시 원미구,12000
부천시 원미구,18274
부천시 원미구,10983
부천시 원미구,17274
부천시 원미구,16424
부천시 원미구,16978
부천시 원미구,16638
부천시 원미구,11506
부천시 원미구,40618
부천시 원미구,29651
부천시 원미구,22207
부천시 원미구,17387
부천시 원미구,21880
부천시 원미구,13867
